Store,Identifier,Product,Aisle,Position
Aldi,Muller,broccoli,A,1.0
Aldi,Muller,tenderstem broccoli,A,2.0
Aldi,Muller,lettuce,A,3.0
Aldi,Muller,salad,A,4.0
Aldi,Muller,tomato,A,5.0
Aldi,Muller,carrot,A,6.0
Aldi,Muller,pepper,A,7.0
Aldi,Muller,pizza,A,8.0
Aldi,Muller,milk,B,1.0
Aldi,Muller,cream,B,2.0
Aldi,Muller,yoghurt,B,3.0
Aldi,Muller,cheese,C,1.0
Aldi,Muller,Butter,C,1.0
Aldi,Muller,halloumi,C,2.0
Aldi,Muller,pasta,C,3.0
Aldi,Muller,spaghetti,C,4.0
Aldi,Muller,pasta sauce,C,5.0
Aldi,Muller,mayonnaise,C,6.0
Aldi,Muller,olive oil,C,7.0
Aldi,Muller,oil,C,8.0
Aldi,Muller,sunflower oil,C,9.0
Aldi,Muller,vegetable oil,C,10.0
Aldi,Muller,eggs,D,1.0
Aldi,Muller,potato,D,1.0
Aldi,Muller,sweet potato,D,2.0
Aldi,Muller,onion,D,3.0
Aldi,Muller,garlic,D,4.0
Aldi,Muller,ginger,D,5.0
Aldi,Muller,tinned tomatoes,D,6.0
Aldi,Muller,tomato puree,D,7.0
Aldi,Muller,soup,D,8.0
Aldi,Muller,lentils,D,9.0
Aldi,Muller,green lentils,D,10.0
Aldi,Muller,beans,D,11.0
Aldi,Muller,baked beans,D,12.0
Aldi,Muller,kidney beans,D,13.0
Aldi,Muller,beer,E,1.0
Aldi,Muller,wine,E,2.0
Aldi,Muller,cider,E,3.0
Aldi,Muller,prosecco,E,4.0
Aldi,Muller,toothbrush,F,1.0
Aldi,Muller,toothpaste,F,2.0
Aldi,Muller,deodorant,F,3.0
Aldi,Muller,paracetamol,F,4.0
Aldi,Muller,cetirizine,F,5.0
Aldi,Muller,soap,F,6.0
Aldi,Muller,washing up liquid,G,1.0
Aldi,Muller,laundry detergent,G,2.0
Aldi,Muller,kitchen roll,G,3.0
Aldi,Muller,toilet paper,G,4.0
Aldi,Muller,cat food,G,5.0
Aldi,Muller,frozen pizza,H,1.0
Aldi,Muller,burger,H,2.0
Aldi,Muller,chicken burger,H,3.0
Aldi,Muller,mince,H,4.0
Aldi,Muller,frozen peas,H,5.0
Aldi,Muller,mixed veg,H,6.0
Aldi,Muller,rolls,I,1.0
Aldi,Muller,buns,I,2.0
Aldi,Muller,bagel,I,3.0
Aldi,Muller,crumpets,I,4.0
Aldi,Muller,sourdough,I,5.0
Aldi,Muller,bread,I,6.0
